utc,elapsed,rss_kb,footprint,threads,pcpu
2026-08-27T01:46:02Z,01-00:50:51,174800,199.9M,36,4.9
2026-08-27T01:51:03Z,01-00:55:52,175120,198.0M,35,3.0
2026-08-27T01:56:04Z,01-01:00:53,264704,239.2M,35,25.6
2026-08-27T02:01:05Z,01-01:05:54,179168,194.2M,37,5.6
2026-08-27T02:06:06Z,01-01:10:55,179792,193.8M,36,4.3
2026-08-27T02:11:07Z,01-01:15:56,257792,242.3M,36,17.6
2026-08-27T02:16:09Z,01-01:20:58,174144,197.4M,35,8.5
2026-08-27T02:21:10Z,01-01:25:59,177472,197.3M,37,6.4
2026-08-27T02:26:11Z,01-01:31:00,273424,215.0M,37,4.7
2026-08-27T02:31:12Z,01-01:36:01,169968,192.1M,37,5.6
2026-08-27T02:36:13Z,01-01:41:02,161744,191.5M,36,3.4
2026-08-27T02:41:14Z,01-01:46:03,423872,206.9M,38,5.2
2026-08-27T02:46:16Z,01-01:51:04,193264,186.2M,35,6.5
2026-08-27T02:51:17Z,01-01:56:06,194400,187.3M,36,8.8
2026-08-27T02:56:18Z,01-02:01:07,327392,208.1M,37,2.5
2026-08-27T03:01:19Z,01-02:06:08,198560,189.5M,35,5.4
2026-08-27T03:06:21Z,01-02:11:09,160608,189.8M,35,7.4
2026-08-27T03:11:23Z,01-02:16:11,465728,197.0M,35,9.2
2026-08-27T03:16:24Z,01-02:21:13,205984,199.5M,35,5.0
2026-08-27T03:21:27Z,01-02:26:15,209616,198.5M,35,6.6
2026-08-27T03:26:29Z,01-02:31:17,339936,193.1M,35,7.3
2026-08-27T03:31:30Z,01-02:36:19,254928,198.5M,35,3.7
2026-08-27T03:36:31Z,01-02:41:20,184368,197.7M,37,2.6
2026-08-27T03:41:32Z,01-02:46:21,298496,204.3M,35,6.0
2026-08-27T03:46:34Z,01-02:51:22,178112,203.5M,38,3.7
2026-08-27T03:51:37Z,01-02:56:24,177504,202.0M,36,2.8
2026-08-27T03:56:38Z,01-03:01:27,341952,197.6M,35,8.2
2026-08-27T04:01:40Z,01-03:06:28,170544,198.7M,36,3.1
2026-08-27T04:06:41Z,01-03:11:30,165696,198.8M,36,4.2
2026-08-27T04:11:42Z,01-03:16:31,361856,193.9M,36,5.6
2026-08-27T04:16:43Z,01-03:21:32,171200,198.2M,36,3.0
2026-08-27T04:21:47Z,01-03:26:33,168800,198.3M,35,4.8
2026-08-27T04:26:48Z,01-03:31:37,179408,197.6M,38,5.0
2026-08-27T04:31:50Z,01-03:36:39,163712,199.6M,35,5.5
2026-08-27T04:36:53Z,01-03:41:40,175824,200.1M,36,6.4
2026-08-27T04:41:54Z,01-03:46:43,281936,203.4M,35,4.9
2026-08-27T04:46:55Z,01-03:51:44,174944,206.6M,36,8.9
2026-08-27T04:51:56Z,01-03:56:45,177024,206.9M,35,3.8
2026-08-27T04:56:58Z,01-04:01:47,334912,195.3M,37,4.6
2026-08-27T05:01:59Z,01-04:06:48,191296,198.2M,35,5.0
2026-08-27T05:07:00Z,01-04:11:49,202016,196.5M,35,4.6
2026-08-27T05:12:01Z,01-04:16:50,308928,198.4M,35,5.6
2026-08-27T05:17:02Z,01-04:21:51,310480,197.1M,35,6.4
2026-08-27T05:22:03Z,01-04:26:52,180768,198.5M,37,6.8
2026-08-27T05:27:05Z,01-04:31:53,302192,195.9M,35,7.3
2026-08-27T05:32:06Z,01-04:36:55,213984,199.3M,37,5.5
2026-08-27T05:37:10Z,01-04:41:56,184880,199.0M,36,5.7
2026-08-27T05:42:11Z,01-04:47:00,316480,199.8M,35,4.3
2026-08-27T05:47:13Z,01-04:52:01,182352,200.5M,35,4.8
2026-08-27T05:52:16Z,01-04:57:03,183024,201.5M,35,8.9
2026-08-27T05:57:17Z,01-05:02:06,316304,199.5M,35,4.1
2026-08-27T06:02:19Z,01-05:07:07,187952,199.2M,38,5.7
2026-08-27T06:07:20Z,01-05:12:09,193936,200.3M,35,9.0
2026-08-27T06:12:21Z,01-05:17:10,363984,200.6M,35,3.9
2026-08-27T06:17:22Z,01-05:22:11,360384,199.5M,35,5.1
2026-08-27T06:22:26Z,01-05:27:12,194400,201.3M,35,13.6
2026-08-27T06:27:28Z,01-05:32:16,307152,203.4M,35,5.8
2026-08-27T06:32:29Z,01-05:37:18,178800,204.3M,35,4.9
2026-08-27T06:37:33Z,01-05:42:19,187632,203.1M,36,20.2
2026-08-27T06:42:34Z,01-05:47:23,320480,202.8M,37,7.8
2026-08-27T06:47:35Z,01-05:52:24,182160,203.2M,36,5.5
2026-08-27T06:52:36Z,01-05:57:25,182000,203.2M,35,8.1
2026-08-27T06:57:38Z,01-06:02:26,337024,203.2M,38,8.0
2026-08-27T07:02:39Z,01-06:07:28,188384,203.1M,36,6.6
2026-08-27T07:07:40Z,01-06:12:29,194624,202.5M,37,8.3
2026-08-27T07:12:41Z,01-06:17:30,328480,206.4M,35,6.0
