callsign,site,state,freq_mhz,lat,lon,power_w,status,same
WXM42,Hagerstown,MD,162.475,39.651111,-77.970833,1000,NORMAL,024001|024013|024021|024043|042001|042009|042055|042057|051043|051061|051069|051107|051139|051171|051187|051840|054003|054027|054031|054037|054057|054065
WXM43,Frostburg,MD,162.425,39.582167,-78.898667,300,NORMAL,024001|024023|024043|042009|042057|042111|054023|054027|054031|054057|054065
WXM44,Windsor,VT,162.475,43.4439,-72.454722,400,NORMAL,033009|033019|050017|050025|050027
WXM45,Middleville,NY,162.425,43.1025,-74.938607,300,NORMAL,036035|036041|036043|036049|036053|036057|036065|036077|036095
WXM46,Sheridan,WY,162.475,44.601944,-106.931667,500,NORMAL,030003|056005|056019|056033
WXM47,Casper,WY,162.400,42.734167,-106.333333,1000,NORMAL,056009|056025
WXM48,Wenatchee,WA,162.475,47.549849,-120.371015,100,NORMAL,053007|053017|053025|053037
WXM49,Marion,IL,162.425,37.557222,-89.023333,1000,NORMAL,017003|017055|017069|017077|017087|017127|017145|017151|017153|017165|017181|017199|021007
WXM50,Greeley,CO,162.400,40.485747,-104.349355,300,NORMAL,008069|008123
WXM51,Mead/Longmont,CO,162.475,40.240081,-105.055268,100,NORMAL,008001|008005|008013|008014|008031|008069|008123|108013|308013|708013|908013
WXM52,Pueblo,CO,162.400,38.275556,-104.598611,300,NORMAL,008027|008043|008055|008101
WXM53,Sterling,CO,162.400,40.615087,-103.031822,300,NORMAL,008075|008095|008115|008123
WXM54,Alamosa,CO,162.475,37.729444,-106.588056,300,NORMAL,008003|008021|008023|008079|008105|008109
WXM55,Grand Junction,CO,162.550,39.0836,-108.2194,300,NORMAL,008045|008077
WXM56,Colorado Springs,CO,162.475,38.7425,-104.8647,100,NORMAL,008041|008119
WXM57,Heathsville,VA,162.400,37.906083,-76.485528,1000,NORMAL,024037|024039|051001|051057|051073|051097|051101|051103|051115|051119|051131|051133|051159|051193
WXM58,Belle Glade,FL,162.400,26.661111,-80.636611,344,NORMAL,012043|012051|012093|012099
WXM59,State College,PA,162.475,40.752628,-77.754144,100,NORMAL,042027|042061|042087
WXM60,Southard,NJ,162.450,40.139866,-74.224193,300,NORMAL,034005|034021|034023|034025|034029|034035|034039
WXM61,Lander,WY,162.475,42.815539,-108.734083,300,NORMAL,056013
WXM62,Capitol Peak,WA,162.475,46.975222,-123.139167,284,NORMAL,053027|053041|053045|053049|053053|053067
WXM63,Rapid City,SD,162.550,44.1144,-103.2433,1000,NORMAL,046033|046093|046103|446093|446103|546103|646103|846093
WXM64,Detroit Lakes,MN,162.400,46.822778,-95.861028,100,NORMAL,027005|027027|027087|027107|027111|027159
WXM65,Baxley,GA,162.525,31.929722,-82.345,300,OUT OF SERVICE,013001|013161|013267|013279
WXM66,Victorville,CA,162.500,34.232361,-117.234694,76,NORMAL,006065|006071
WXM68,Leyden,MA,162.425,42.6981,-72.605,300,NORMAL,025003|025011|025015|033005|050003|050025
WXM69,Otway,OH,162.525,38.893056,-83.255,1000,NORMAL,021135|021161|039001|039015|039071|039079|039131|039141|039145|039163
WXM70,Garfield,WV,162.500,38.97575,-81.532722,1000,NORMAL,039009|039053|039105|039167|054013|054021|054035|054053|054073|054079|054085|054087|054095|054105|054107
WXM71,Beckley,WV,162.550,37.590556,-81.115,1000,NORMAL,051185|054019|054025|054047|054055|054063|054067|054081|054089|054109
WXM72,Hinton,WV,162.425,37.77359,-80.7055,1000,NORMAL,051005|051017|051021|051045|051071|051185|051580|054019|054025|054055|054063|054067|054075|054081|054089
WXM73,Moorefield,WV,162.400,38.9825,-78.908611,500,NORMAL,024001|051015|051069|051091|051139|051165|051171|051660|051790|051820|051840|054023|054027|054031|054057|054065|054071
WXM74,Sutton,WV,162.450,38.7114,-80.681944,1030,NORMAL,054007|054013|054015|054021|054041|054067|054087|054097|054101
WXM75,Gilbert,WV,162.475,37.641389,-81.993889,500,NORMAL,051027|051051|054005|054043|054045|054047|054059|054109
WXM77,Caribou,ME,162.525,46.551288,-67.809185,100,NORMAL,023003|023019
WXM78,Bloomington,IN,162.450,39.164167,-86.521111,300,NORMAL,018013|018055|018105|018109|018119
WXM80,Riverhead,NY,162.475,40.8825,-72.715278,500,NORMAL,009001|009007|009009|009011|036059|036103
WXM81,Hermitage,MO,162.450,37.905444,-93.317028,1000,NORMAL,029059|029085|029167
WXM85,Guam,GU,162.400,13.4333,144.7125,300,NORMAL,066010|069100
WXM86,Saipan,MP,162.550,15.1865,145.743819,300,NORMAL,069100|069110|069120
WXM87,Wray,CO,162.475,40.054167,-102.225556,100,NORMAL,008125|020023|031057
WXM89,Lake Powell,UT,162.550,37.034444,-110.868611,100,NORMAL,004001|004005|004017|049017|049025|049037
WXM90,Jacksonville,IL,162.525,39.6667,-90.341667,300,NORMAL,017009|017013|017017|017061|017137|017149|017171
WXM91,Park Falls,WI,162.500,45.945278,-90.274444,1000,NORMAL,055003|055051|055085|055099|055113|055125
WXM92,Fort Collins/Ault,CO,162.450,40.570302,-105.079238,300,NORMAL,008069|008123
WXM93,Cross,SC,162.475,33.3686,-80.116434,100,NORMAL,045015|045027|045075|045089
WXM94,Wellsboro,PA,162.475,41.737033,-77.363552,1000,NORMAL,042105|042117
WXM95,Towanda,PA,162.525,41.810556,-76.716944,500,NORMAL,036015|036101|036107|042015|042113|042117|042131
WXM97,Haines,AK,162.400,59.247378,-135.435426,300,NORMAL,002100|002230
WXM98,Marion,IN,162.450,40.5969,-85.6558,100,NORMAL,018009|018035|018053|018067|018069|018095|018103|018159|018169|018179
WXM99,Bemidji,MN,162.425,47.555833,-94.801361,1000,NORMAL,027007|027029|027057|027061|227021
WXN21,Cle Elum,WA,162.400,47.137333,-120.869667,40,NORMAL,053037
WXN24,Artesia,NM,162.425,32.800611,-104.198654,100,OUT OF SERVICE,035015
WXN28,Springfield,ME,162.500,45.344444,-68.095,1000,NORMAL,023003|023019|023029
WXN29,Call Hill,NY,162.425,42.211111,-77.689444,300,NORMAL,036003|036015|036051|036069|036097|036099|036101|036121|036123|042105|042117
WXN55,Mt. Washington,NY,162.450,42.355556,-77.266111,300,NORMAL,036003|036015|036051|036069|036097|036099|036101|036121|042105|042117
WXN59,Ithaca,NY,162.500,42.418611,-76.493889,1000,NORMAL,036011|036015|036023|036097|036099|036109|036123
WXN61,Sidney,NE,162.500,41.184167,-103.193611,1000,NORMAL,031033|031049|031069|031105
WXN68,Watertown,NY,162.475,43.961225,-75.8078,100,NORMAL,036045|036049|036075|036089
WXN69,Sister Bay,WI,162.425,45.237887,-87.091394,1000,NORMAL,026109|055029|055061|055075
WXN72,Merna,NE,162.500,41.387222,-99.820833,1000,NORMAL,031041|031163
WXN74,Hickman,TN,162.500,36.1447,-85.9111,991,NORMAL,047015|047041|047087|047141|047159|047169|047189
WXN81,Ulysses,KS,162.450,37.505115,-101.470286,1000,OUT OF SERVICE,020055|020067|020075|020081|020093|020129|020175|020187|020189
WXN82,Valentine,NE,162.450,42.888611,-100.553333,1000,NORMAL,031031|046121|046123
WXN83,Burlington,IA,162.525,40.833889,-91.212778,300,NORMAL,017067|017071|017131|017187|019057|019087|019111|019115
WXN85,Fairfield,IA,162.400,41.089289,-91.968285,300,NORMAL,019051|019087|019101|019107|019111|019177|019179|019183
WXN87,Natchitoches,LA,162.500,31.787,-93.205,1030,NORMAL,022013|022031|022043|022069|022081|022085|022127
WXN88,New Town,ND,162.525,48.071667,-102.44,300,NORMAL,038025|038055|038061
WXN89,Coleman,TX,162.475,32.033611,-99.420556,300,NORMAL,048049|048059|048083|048399
WXN91,Lake Rathbun,IA,162.425,40.81925,-92.904,301,NORMAL,019007|019051|019117|019135|019179|019185|029171
WXN92,Harrison,AR,162.525,36.1692,-93.2497,1000,NORMAL,005009|005015|005089|005101|005129
WXN99,West Olive,MI,162.425,42.941389,-86.084167,300,NORMAL,026005|026121|026139
WZ2500,Sand Mtn,VA,162.450,36.9075,-81.06805,300,NORMAL,037005|051021|051035|051071|051077|051121|051155|051173|051197|051640|051750
WZ2502,Randle,WA,162.425,46.535278,-121.768861,114,NORMAL,053041
WZ2503,Guadalupe Mt Nat'l. Park,TX,162.525,31.890043,-104.811221,325,NORMAL,048109|048301|048389
WZ2504,Sonoma County,CA,162.475,38.348333,-122.578056,100,NORMAL,006097|106097|306097|406097|506097|606097|706097|906097
WZ2505,Sandberg,CA,162.425,34.743611,-118.724917,65,NORMAL,006037
WZ2506,Clifton,TN,162.500,35.2736,-87.9322,1020,NORMAL,001077|047039|047071|047109|047135|047181
WZ2507,Dickens,TX,162.500,33.654139,-100.846194,309,NORMAL,048101|048107|048125|048153|048169|048263|048269|048345|048433
WZ2509,Reedsport,OR,162.525,43.656875,-124.187375,100,NORMAL,041019
WZ2511,Sharon,KS,162.400,37.37059,-98.40278,1060,NORMAL,020007|020077|020095|020151|020155|020185|040003|040151
WZ2512,Parker,KS,162.525,38.302944,-94.959806,683,NORMAL,020001|020003|020011|020059|020107|020121|029013|029037|029217
WZ2513,Copper Harbor,MI,162.500,47.4675,-87.8722,300,NORMAL,026083
WZ2514,Munising,MI,162.475,46.420833,-86.675,100,NORMAL,026003
WZ2515,Grand Marais,MI,162.425,46.5475,-86.0364,100,NORMAL,026003
WZ2516,Silver City,NM,162.425,32.581944,-108.425306,110,NORMAL,035017|035023|035029|035051
WZ2518,Eagle,CO,162.450,39.775,-106.846389,100,NORMAL,008037
WZ2519,Tonopah,NV,162.400,38.051944,-117.225556,150,NORMAL,032009|032023
WZ2520,Sun Valley,ID,162.450,43.661389,-114.403056,150,NORMAL,016013
WZ2521,Battle Mtn.,NV,162.425,40.4036,-116.8681,150,NORMAL,032015
WZ2522,Carney Butte,OR,162.475,45.281186,-118.94966,100,NORMAL,041059
WZ2523,Frankfort,KY,162.500,38.207276,-84.836243,300,NORMAL,021073
WZ2524,Bishop,CA,162.425,37.3708,-118.3672,100,NORMAL,006027
WZ2527,Fredericksburg,VA,162.425,38.311389,-77.483611,300,NORMAL,024017|024037|051033|051047|051057|051061|051099|051137|051153|051177|051179|051193|051630|051683|051685
WZ2528,Wibaux,MT,162.500,46.9919,-104.2683,300,NORMAL,030109
WZ2529,Mt. Olotele,AS,162.550,-14.317067,-170.76402,300,NORMAL,060010|060050
WZ2530,Susanville,CA,162.500,40.446389,-120.358056,100,NORMAL,006035
WZ2531,Hialeah Spanish,FL,162.500,25.8397,-80.2925,300,NORMAL,012011|012086
WZ2533,Ekalaka,MT,162.475,45.512222,-104.48,100,NORMAL,030011
WZ2535,Orofino,ID,162.500,46.5086,-116.2167,100,NORMAL,016035|016049|016061|016069
WZ2536,Lyons,NY,162.475,43.0658,-77.0361,250,NORMAL,036117
WZ2540,North Kohala,HI,162.500,20.125361,-155.7778,300,NORMAL,015001
WZ2541,Pharr Spanish,TX,162.475,26.1861,-98.1886,300,NORMAL,048061|048215|048427|048489
